Category,QA Group,Question,Answer
General Queries,How to book a bus ticket,How do I book a bus ticket? ,"1. Go to abhibus.com or install Abhibus android/iOS app.<br>2. Enter the city of origin and destination in the bus booking section.<br>3. Choose your preferred date of journey and click search.<br>4. Bus services available for the particular route will be listed. The list will show the service start time from your source city, estimated time of arrival in your destination city, list of amenities available in particular bus service, per seat wise approximate fare, any discounted fare applicable, number of seats available in a particular service etc.<br>5. Please click ""Select Seat"" option (for web) or select the ""Bus service"" listed (in case of the app) to see the seats available in the corresponding seat layout.<br>6. Seat layout will show the list of seats available for booking. Please remember to verify the cancellation policy and refer to the seat legends in the seat layout page before proceeding. Select the seat(s) of your choice and proceed.<br>7. Select the boarding point in origin city by choosing from one of the options available in the boarding point page.<br>8. Select the dropping point in destination city where you would like to alight the bus.<br>9. Enter the Passenger Mobile No, Email ID and Emergency Contact No.<br>10. Enter the Passenger Name, Age and Gender against each seat selected.<br>11. If you have a promo/discount coupon code, you can enter the coupon code after entering the passenger details in the coupon code section. Enter the valid coupon code & hit apply coupon. You need to login to your account to use any promotional coupons.<br>12. You may choose to avail the travel insurance by opting for it.<br>13. Please review your journey details before proceeding to the payment page.<br>14. Choose from one of your preferred payment modes and continue to make payment.<br>15. Once you complete the payment, the ticket booking confirmation will be shown on the screen.<br>16. You will also receive SMS and Email copy of the ticket confirmation on the passenger mobile no and email id entered while booking.<br>17. The booking confirmation details will be sent on email and SMS as well to the passenger mobile number and email ID provided at the time of the booking."
General Queries,How to book a bus ticket,How to book ticket?,"1. Go to abhibus.com or install Abhibus android/iOS app.<br>2. Enter the city of origin and destination in the bus booking section.<br>3. Choose your preferred date of journey and click search.<br>4. Bus services available for the particular route will be listed. The list will show the service start time from your source city, estimated time of arrival in your destination city, list of amenities available in particular bus service, per seat wise approximate fare, any discounted fare applicable, number of seats available in a particular service etc.<br>5. Please click ""Select Seat"" option (for web) or select the ""Bus service"" listed (in case of the app) to see the seats available in the corresponding seat layout.<br>6. Seat layout will show the list of seats available for booking. Please remember to verify the cancellation policy and refer to the seat legends in the seat layout page before proceeding. Select the seat(s) of your choice and proceed.<br>7. Select the boarding point in origin city by choosing from one of the options available in the boarding point page.<br>8. Select the dropping point in destination city where you would like to alight the bus.<br>9. Enter the Passenger Mobile No, Email ID and Emergency Contact No.<br>10. Enter the Passenger Name, Age and Gender against each seat selected.<br>11. If you have a promo/discount coupon code, you can enter the coupon code after entering the passenger details in the coupon code section. Enter the valid coupon code & hit apply coupon. You need to login to your account to use any promotional coupons.<br>12. You may choose to avail the travel insurance by opting for it.<br>13. Please review your journey details before proceeding to the payment page.<br>14. Choose from one of your preferred payment modes and continue to make payment.<br>15. Once you complete the payment, the ticket booking confirmation will be shown on the screen.<br>16. You will also receive SMS and Email copy of the ticket confirmation on the passenger mobile no and email id entered while booking.<br>17. The booking confirmation details will be sent on email and SMS as well to the passenger mobile number and email ID provided at the time of the booking."
General Queries,How to book a bus ticket,Tell me how to book a ticket.,"1. Go to abhibus.com or install Abhibus android/iOS app.<br>2. Enter the city of origin and destination in the bus booking section.<br>3. Choose your preferred date of journey and click search.<br>4. Bus services available for the particular route will be listed. The list will show the service start time from your source city, estimated time of arrival in your destination city, list of amenities available in particular bus service, per seat wise approximate fare, any discounted fare applicable, number of seats available in a particular service etc.<br>5. Please click ""Select Seat"" option (for web) or select the ""Bus service"" listed (in case of the app) to see the seats available in the corresponding seat layout.<br>6. Seat layout will show the list of seats available for booking. Please remember to verify the cancellation policy and refer to the seat legends in the seat layout page before proceeding. Select the seat(s) of your choice and proceed.<br>7. Select the boarding point in origin city by choosing from one of the options available in the boarding point page.<br>8. Select the dropping point in destination city where you would like to alight the bus.<br>9. Enter the Passenger Mobile No, Email ID and Emergency Contact No.<br>10. Enter the Passenger Name, Age and Gender against each seat selected.<br>11. If you have a promo/discount coupon code, you can enter the coupon code after entering the passenger details in the coupon code section. Enter the valid coupon code & hit apply coupon. You need to login to your account to use any promotional coupons.<br>12. You may choose to avail the travel insurance by opting for it.<br>13. Please review your journey details before proceeding to the payment page.<br>14. Choose from one of your preferred payment modes and continue to make payment.<br>15. Once you complete the payment, the ticket booking confirmation will be shown on the screen.<br>16. You will also receive SMS and Email copy of the ticket confirmation on the passenger mobile no and email id entered while booking.<br>17. The booking confirmation details will be sent on email and SMS as well to the passenger mobile number and email ID provided at the time of the booking."
General Queries,How to book a bus ticket,What's the process of booking a ticket?,"1. Go to abhibus.com or install Abhibus android/iOS app.<br>2. Enter the city of origin and destination in the bus booking section.<br>3. Choose your preferred date of journey and click search.<br>4. Bus services available for the particular route will be listed. The list will show the service start time from your source city, estimated time of arrival in your destination city, list of amenities available in particular bus service, per seat wise approximate fare, any discounted fare applicable, number of seats available in a particular service etc.<br>5. Please click ""Select Seat"" option (for web) or select the ""Bus service"" listed (in case of the app) to see the seats available in the corresponding seat layout.<br>6. Seat layout will show the list of seats available for booking. Please remember to verify the cancellation policy and refer to the seat legends in the seat layout page before proceeding. Select the seat(s) of your choice and proceed.<br>7. Select the boarding point in origin city by choosing from one of the options available in the boarding point page.<br>8. Select the dropping point in destination city where you would like to alight the bus.<br>9. Enter the Passenger Mobile No, Email ID and Emergency Contact No.<br>10. Enter the Passenger Name, Age and Gender against each seat selected.<br>11. If you have a promo/discount coupon code, you can enter the coupon code after entering the passenger details in the coupon code section. Enter the valid coupon code & hit apply coupon. You need to login to your account to use any promotional coupons.<br>12. You may choose to avail the travel insurance by opting for it.<br>13. Please review your journey details before proceeding to the payment page.<br>14. Choose from one of your preferred payment modes and continue to make payment.<br>15. Once you complete the payment, the ticket booking confirmation will be shown on the screen.<br>16. You will also receive SMS and Email copy of the ticket confirmation on the passenger mobile no and email id entered while booking.<br>17. The booking confirmation details will be sent on email and SMS as well to the passenger mobile number and email ID provided at the time of the booking."
General Queries,How to book a bus ticket,Where can I book a ticket?,"1. Go to abhibus.com or install Abhibus android/iOS app.<br>2. Enter the city of origin and destination in the bus booking section.<br>3. Choose your preferred date of journey and click search.<br>4. Bus services available for the particular route will be listed. The list will show the service start time from your source city, estimated time of arrival in your destination city, list of amenities available in particular bus service, per seat wise approximate fare, any discounted fare applicable, number of seats available in a particular service etc.<br>5. Please click ""Select Seat"" option (for web) or select the ""Bus service"" listed (in case of the app) to see the seats available in the corresponding seat layout.<br>6. Seat layout will show the list of seats available for booking. Please remember to verify the cancellation policy and refer to the seat legends in the seat layout page before proceeding. Select the seat(s) of your choice and proceed.<br>7. Select the boarding point in origin city by choosing from one of the options available in the boarding point page.<br>8. Select the dropping point in destination city where you would like to alight the bus.<br>9. Enter the Passenger Mobile No, Email ID and Emergency Contact No.<br>10. Enter the Passenger Name, Age and Gender against each seat selected.<br>11. If you have a promo/discount coupon code, you can enter the coupon code after entering the passenger details in the coupon code section. Enter the valid coupon code & hit apply coupon. You need to login to your account to use any promotional coupons.<br>12. You may choose to avail the travel insurance by opting for it.<br>13. Please review your journey details before proceeding to the payment page.<br>14. Choose from one of your preferred payment modes and continue to make payment.<br>15. Once you complete the payment, the ticket booking confirmation will be shown on the screen.<br>16. You will also receive SMS and Email copy of the ticket confirmation on the passenger mobile no and email id entered while booking.<br>17. The booking confirmation details will be sent on email and SMS as well to the passenger mobile number and email ID provided at the time of the booking."
General Queries,How to book a bus ticket,Can you help me book a ticket?,"1. Go to abhibus.com or install Abhibus android/iOS app.<br>2. Enter the city of origin and destination in the bus booking section.<br>3. Choose your preferred date of journey and click search.<br>4. Bus services available for the particular route will be listed. The list will show the service start time from your source city, estimated time of arrival in your destination city, list of amenities available in particular bus service, per seat wise approximate fare, any discounted fare applicable, number of seats available in a particular service etc.<br>5. Please click ""Select Seat"" option (for web) or select the ""Bus service"" listed (in case of the app) to see the seats available in the corresponding seat layout.<br>6. Seat layout will show the list of seats available for booking. Please remember to verify the cancellation policy and refer to the seat legends in the seat layout page before proceeding. Select the seat(s) of your choice and proceed.<br>7. Select the boarding point in origin city by choosing from one of the options available in the boarding point page.<br>8. Select the dropping point in destination city where you would like to alight the bus.<br>9. Enter the Passenger Mobile No, Email ID and Emergency Contact No.<br>10. Enter the Passenger Name, Age and Gender against each seat selected.<br>11. If you have a promo/discount coupon code, you can enter the coupon code after entering the passenger details in the coupon code section. Enter the valid coupon code & hit apply coupon. You need to login to your account to use any promotional coupons.<br>12. You may choose to avail the travel insurance by opting for it.<br>13. Please review your journey details before proceeding to the payment page.<br>14. Choose from one of your preferred payment modes and continue to make payment.<br>15. Once you complete the payment, the ticket booking confirmation will be shown on the screen.<br>16. You will also receive SMS and Email copy of the ticket confirmation on the passenger mobile no and email id entered while booking.<br>17. The booking confirmation details will be sent on email and SMS as well to the passenger mobile number and email ID provided at the time of the booking."
General Queries,Do I need to login to book ticket on abhibus,Do I need to log in or sign up to book a bus ticket?,"You do not need to sign-up & log-in to your account to book bus tickets on Abhibus.com. But to avail any promotional offers, you're required to sign-up & log-in to your account."
General Queries,Do I need to login to book ticket on abhibus,Do I need an Abhibus account to book a bus ticket?,"You do not need to sign-up & log-in to your account to book bus tickets on Abhibus.com. But to avail any promotional offers, you're required to sign-up & log-in to your account."
General Queries,Do I need to login to book ticket on abhibus,Do I need an account to book a ticket?,"You do not need to sign-up & log-in to your account to book bus tickets on Abhibus.com. But to avail any promotional offers, you're required to sign-up & log-in to your account."
General Queries,How to check service availability on a route,How do I check the availability of a bus service or Bus ticket or seat on a particular route?,"1. Enter the source and destination.<br>2. Choose your preferred date of journey and click search.<br>3. You will see a list of bus services available for the particular route. The list will show the bus start time from your origin city, estimated time of arrival in your destination city, list of amenities available, per seat wise approximate fare, any discounted fare if applicable, the number of seats available in a service etc.<br>4. Bus Service available on a route for a particular date of journey will be shown in the search result page. Services that are already sold out will be greyed out."
